o'ahs'a' ENG_a_chest 'ahsaw 
wadaiha'ta' ENG_it_heats_things_up_H 'daiha'd 
o'nehs'adaih~: ENG_desert 'nehsa 
o'no:dra' ENG_it_is_infected 'nodra' 
akno:sh~: ENG_im_envious_S 'nosh~: 
~ga:de:ga't ENG_ill_start_a_fire ode:ka' 
~hsrihwahsrQ:ni' ENG_youll_come_to_arrangement adrihwahsrQni 
~wag3hdrQ'k ENG_ill_be_frightened ahdrQ' 
sadahgahsta' ENG_you_endure_H ahgahsdQ 
d~wagahji:yo:' ENG_it_will_scratch_me ahjiyo: 
a:sahsda~:' ENG_you_might_cry ahsda:ha' 
~sa:sdi:s ENG_youll_pay_attention ahsdisd 
aga:tQ:d~hs ENG_i_hear_H atQd~h  
dewagaw~:nye' ENG_i_am_stirring aw~nye: 
ohya:jih ENG_blueberry ahyajih 
odQhgwa: ENG_a_fever dQhgwa: 
adYQkn'idraih~' ENG_we_two_hurried 'draih~ 
ehsne:' ENG_you_two_thought e:
grahe:t ENG_living_tree ed grahe'da 
had~dQnya'ta' ENG_hes_a_joker_H ~dQnya'd 
heshaw~h~h ENG_he_speaks_wo_thinking_H ~h~h 
deYQnahsgwahkwa' ENG_she_is_jumping_H ~nahsgwahgw 
~g~hs~:to' ENG_ill_kick_it ~hs~to 
desatno'ja:ga: ENG_you_grind_ur_teeth no'ja ga: ga:' 
hah~he:ya't ENG_die_suddenly gaheya'd 
sege:tsgwahs ENG_youre_lifting_to_vert getsgw 
gag~ihsdQh ENG_a_postponement g~ihsd 
d~h~natg~:nYQhs ENG_a_fair g~ny 
ogQhstw~:'~:' ENG_a_beard gQhstw~'~ 
deyotgr~gr~hdQh ENG_sky_is_grey gr~gr~hdQh 
wata:da:s ENG_it_rises_up_H ha:dad 
ohaha' ENG_a_road haha 
~taha:wi' ENG_he_is_going_to_bring hawi 
tsohetsogwahs ENG_it_tricks_him_H hetsogw
gahnegeha' ENG_it_is_drinking_H hnegeha 
ohnya'sa' ENG_a_neck hnya'sa 
ohnyo'gwa' ENG_a_nut hnyo'gwa 
gahnYQ'Qhsra' ENG_iron_steel hnyq'Qhsra 
desad~hQgai:s ENG_you_suffer_H hQgai 
kre:ha' ENG_i_am_setting_it_on hre 
